string_protein_id,gene_symbol,match_type
9606.ENSP00000216727,PABPN1,direct
9606.ENSP00000216733,EFS,direct
9606.ENSP00000216756,CINP,direct
9606.ENSP00000216780,PCK2,direct
9606.ENSP00000216797,NFKBIA,direct
9606.ENSP00000216802,PSME2,direct
9606.ENSP00000216807,BRMS1L,direct
9606.ENSP00000216832,PNN,direct
9606.ENSP00000216862,CYP24A1,direct
9606.ENSP00000216911,AURKA,direct
9606.ENSP00000216923,ZFP64,direct
9606.ENSP00000216962,PYGB,direct
9606.ENSP00000216968,PROCR,direct
9606.ENSP00000217026,MYBL2,direct
9606.ENSP00000217043,R3HDML,direct
9606.ENSP00000217086,SALL4,direct
9606.ENSP00000217109,CSTF1,direct
9606.ENSP00000217121,TPD52L2,direct
9606.ENSP00000217131,CTSZ,direct
9606.ENSP00000217133,TUBB1,direct
9606.ENSP00000217159,SLCO4A1,direct
9606.ENSP00000217169,BIRC7,direct
9606.ENSP00000217173,UBOX5,direct
9606.ENSP00000217182,EEF1A2,direct
9606.ENSP00000217188,SRMS,direct
9606.ENSP00000217244,CSNK2A1,direct
9606.ENSP00000217246,MACROD2,direct
9606.ENSP00000217260,RSPO4,direct
9606.ENSP00000217270,PROKR2,direct
9606.ENSP00000217289,FERMT1,direct
9606.ENSP00000217320,TLDC2,direct
9606.ENSP00000217372,CDK5RAP1,direct
9606.ENSP00000217381,SNTA1,direct
9606.ENSP00000217386,OXT,direct
9606.ENSP00000217402,CHMP4B,direct
9606.ENSP00000217407,LBP,direct
9606.ENSP00000217420,SLC32A1,direct
9606.ENSP00000217423,CST4,direct
9606.ENSP00000217426,AHCY,direct
9606.ENSP00000217428,SPINT3,direct
9606.ENSP00000217446,PIGU,direct
9606.ENSP00000217455,ACOT8,direct
9606.ENSP00000217456,APMAP,direct
9606.ENSP00000217515,TXNL1,direct
9606.ENSP00000217740,RNF125,direct
9606.ENSP00000217901,IDH3G,direct
9606.ENSP00000217909,SLC25A43,direct
9606.ENSP00000217939,MXRA5,direct
9606.ENSP00000217958,PSMD10,direct
9606.ENSP00000217961,STS,direct
9606.ENSP00000217971,PGRMC1,direct
9606.ENSP00000217999,RHOXF1,direct
9606.ENSP00000218004,NXT2,direct
9606.ENSP00000218006,GUCY2F,direct
9606.ENSP00000218008,ATP1B4,direct
9606.ENSP00000218068,PAGE4,direct
9606.ENSP00000218075,GLRA2,direct
9606.ENSP00000218089,STAG2,direct
9606.ENSP00000218099,F9,direct
9606.ENSP00000218104,ABCD1,direct
9606.ENSP00000218176,KCND1,direct
9606.ENSP00000218230,PCSK1N,direct
9606.ENSP00000218249,RAB40AL,direct
9606.ENSP00000218316,GPR50,direct
9606.ENSP00000218340,RP2,direct
9606.ENSP00000218348,USP11,direct
9606.ENSP00000218388,TIMP1,direct
9606.ENSP00000218436,ITIH6,direct
9606.ENSP00000218516,GLA,direct
9606.ENSP00000218548,ATP12A,direct
9606.ENSP00000218721,MLNR,direct
9606.ENSP00000218758,ACP5,direct
9606.ENSP00000218867,SGCG,direct
9606.ENSP00000219022,OLFM4,direct
9606.ENSP00000219066,NTHL1,direct
9606.ENSP00000219069,ZNF263,direct
9606.ENSP00000219070,MMP2,direct
9606.ENSP00000219097,ORC6,direct
9606.ENSP00000219150,CORO1A,direct
9606.ENSP00000219162,MT4,direct
9606.ENSP00000219169,NUTF2,direct
9606.ENSP00000219197,CBLN1,direct
9606.ENSP00000219204,ARL2BP,direct
9606.ENSP00000219207,PLLP,direct
9606.ENSP00000219235,CCL22,direct
9606.ENSP00000219240,DHODH,direct
9606.ENSP00000219244,CCL17,direct
9606.ENSP00000219252,POLR2C,direct
9606.ENSP00000219255,PARD6A,direct
9606.ENSP00000219271,MMP15,direct
9606.ENSP00000219281,USB1,direct
9606.ENSP00000219301,PRSS54,direct
9606.ENSP00000219302,NME3,direct
9606.ENSP00000219313,PSMD7,direct
9606.ENSP00000219315,SETD6,direct
9606.ENSP00000219334,SMPD3,direct
9606.ENSP00000219345,PLA2G15,direct
9606.ENSP00000219368,FA2H,direct
9606.ENSP00000219400,CMC2,direct
9606.ENSP00000219406,PDIA2,direct
9606.ENSP00000219409,ARHGDIG,direct
9606.ENSP00000219431,MPG,direct
9606.ENSP00000219439,HSDL1,direct
9606.ENSP00000219476,TSC2,direct
9606.ENSP00000219478,ZNF500,direct
9606.ENSP00000219479,NME4,direct
9606.ENSP00000219481,DECR2,direct
9606.ENSP00000219548,STUB1,direct
9606.ENSP00000219551,RHBDL1,direct
9606.ENSP00000219596,MEFV,direct
9606.ENSP00000219599,CRYM,direct
9606.ENSP00000219611,CAPN15,direct
9606.ENSP00000219660,AQP8,direct
9606.ENSP00000219689,USP31,direct
9606.ENSP00000219746,TOX3,direct
9606.ENSP00000219782,MAZ,direct
9606.ENSP00000219789,CDIPT,direct
9606.ENSP00000219833,SLC6A2,direct
9606.ENSP00000219837,KNOP1,direct
9606.ENSP00000219905,MGA,direct
9606.ENSP00000219919,AQP9,direct
9606.ENSP00000220003,CSK,direct
9606.ENSP00000220058,MTFMT,direct
9606.ENSP00000220062,RASL12,direct
9606.ENSP00000220166,CTSH,direct
9606.ENSP00000220325,EHD4,direct
9606.ENSP00000220420,TGM5,direct
9606.ENSP00000220429,GABPB1,direct
9606.ENSP00000220478,SCG3,direct
9606.ENSP00000220496,DNAJC17,direct
9606.ENSP00000220507,RHOV,direct
9606.ENSP00000220509,VPS18,direct
9606.ENSP00000220514,OIP5,direct
9606.ENSP00000220562,EXTL3,direct
9606.ENSP00000220592,AGO2,direct
9606.ENSP00000220597,PAG1,direct
9606.ENSP00000220616,TG,direct
9606.ENSP00000220659,BRF2,direct
9606.ENSP00000220669,ZFAND1,direct
9606.ENSP00000220676,RP1,direct
9606.ENSP00000220751,RIPK2,direct
9606.ENSP00000220763,CPQ,direct
9606.ENSP00000220764,DECR1,direct
9606.ENSP00000220772,SFRP1,direct
9606.ENSP00000220809,PLAT,direct
9606.ENSP00000220812,DKK4,direct
9606.ENSP00000220822,GDAP1,direct
9606.ENSP00000220849,EIF3E,direct
9606.ENSP00000220853,EMC2,direct
9606.ENSP00000220913,CHRAC1,direct
9606.ENSP00000220940,GML,direct
9606.ENSP00000220966,PYCR3,direct
9606.ENSP00000221086,MTMR9,direct
9606.ENSP00000221114,DCTN6,direct
9606.ENSP00000221130,GSR,direct
9606.ENSP00000221132,TNFRSF10A,direct
9606.ENSP00000221138,PPP2CB,direct
9606.ENSP00000221166,NEFM,direct
9606.ENSP00000221200,KCTD9,direct
9606.ENSP00000221233,EXOSC5,direct
9606.ENSP00000221265,PAF1,direct
9606.ENSP00000221307,CYP4F3,direct
9606.ENSP00000221315,ZNF432,direct
9606.ENSP00000221327,ZNF180,direct
9606.ENSP00000221399,TULP2,direct
9606.ENSP00000221403,DHDH,direct
9606.ENSP00000221418,ECH1,direct
9606.ENSP00000221419,HNRNPL,direct
9606.ENSP00000221444,KCNA7,direct
9606.ENSP00000221452,RELB,direct
9606.ENSP00000221455,CLASRP,direct
9606.ENSP00000221459,LIN7B,direct
9606.ENSP00000221462,PPP1R37,direct
9606.ENSP00000221476,CKM,direct
9606.ENSP00000221480,PEX11G,direct
9606.ENSP00000221485,SLC17A7,direct
9606.ENSP00000221486,RNASEH2A,direct
9606.ENSP00000221494,SF3A2,direct
9606.ENSP00000221496,AMH,direct
9606.ENSP00000221498,DKKL1,direct
9606.ENSP00000221515,RETN,direct
9606.ENSP00000221538,RSPH6A,direct
9606.ENSP00000221543,TBC1D17,direct
9606.ENSP00000221561,TLE5,direct
9606.ENSP00000221566,SGTA,direct
9606.ENSP00000221573,SNAPC2,direct
9606.ENSP00000221665,FIZ1,direct
9606.ENSP00000221671,C19ORF44,direct
9606.ENSP00000221700,CYP4F2,direct
9606.ENSP00000221730,EPHX3,direct
9606.ENSP00000221742,SLC1A6,direct
9606.ENSP00000221797,LGALS13,direct
9606.ENSP00000221801,FBL,direct
9606.ENSP00000221804,CLC,direct
9606.ENSP00000221847,EBI3,direct
9606.ENSP00000221855,TBCB,direct
9606.ENSP00000221856,FSD1,direct
9606.ENSP00000221859,POLR2I,direct
9606.ENSP00000221891,APLP1,direct
9606.ENSP00000221922,CCDC9,direct
9606.ENSP00000221930,TGFB1,direct
9606.ENSP00000221954,CEACAM4,direct
9606.ENSP00000221957,PLIN3,direct
9606.ENSP00000221972,CD79A,direct
9606.ENSP00000221973,LIM2,direct
9606.ENSP00000221978,NKG7,direct
9606.ENSP00000221980,ICAM5,direct
9606.ENSP00000221992,CEACAM5,direct
9606.ENSP00000221996,CRX,direct
9606.ENSP00000222002,SULT2A1,direct
9606.ENSP00000222005,CDC37,direct
9606.ENSP00000222008,RABAC1,direct
9606.ENSP00000222032,CNFN,direct
9606.ENSP00000222033,ZNRF4,direct
9606.ENSP00000222115,HAS1,direct
9606.ENSP00000222120,RAB3D,direct
9606.ENSP00000222122,DBP,direct
9606.ENSP00000222139,EPOR,direct
9606.ENSP00000222145,RASIP1,direct
9606.ENSP00000222219,DNASE2,direct
9606.ENSP00000222224,LENG1,direct
9606.ENSP00000222247,RPL18A,direct
9606.ENSP00000222248,SLC5A5,direct
9606.ENSP00000222250,ARRDC2,direct
9606.ENSP00000222254,PIK3R2,direct
9606.ENSP00000222256,RAB3A,direct
9606.ENSP00000222271,COMP,direct
9606.ENSP00000222284,TMEM147,direct
9606.ENSP00000222286,GAPDHS,direct
9606.ENSP00000222305,USF2,direct
9606.ENSP00000222329,ERF,direct
9606.ENSP00000222330,GSK3A,direct
9606.ENSP00000222339,ZNF574,direct
9606.ENSP00000222345,SIPA1L3,direct
9606.ENSP00000222374,CADM4,direct
9606.ENSP00000222381,PON1,direct
9606.ENSP00000222382,CYP3A43,direct
9606.ENSP00000222388,ABCF2,direct
9606.ENSP00000222390,HGF,direct
9606.ENSP00000222399,LAMB1,direct
9606.ENSP00000222402,UBE2D4,direct
9606.ENSP00000222462,WNT16,direct
9606.ENSP00000222481,CPA2,direct
9606.ENSP00000222482,CPA4,direct
9606.ENSP00000222511,GTPBP10,direct
9606.ENSP00000222543,TFPI2,direct
9606.ENSP00000222547,BET1,direct
9606.ENSP00000222553,NAMPT,direct
9606.ENSP00000222573,ITGB8,direct
9606.ENSP00000222574,HBP1,direct
